_id,question,A,B,C,D,answer,GPT_answer,accuracy,response_time,updatedAt
6569630a793453ba7eacc1d2,The above hominid species discovered in Malapa Cave in South Africa has been classified as:,Homo habilis,Australopithecus sediba.,Homo sapiens.,Australopithecus robustus,B,\n\nAnswer: B Australopithecus sediba.,1,388.0148000009358,2023-12-01T05:17:23.856Z
6569630a793453ba7eacc1d3,Ethnographic evidence supports which of the following connections between surplus food and social complexity?,Only agriculturalists can produce the food surplus necessary for economic inequality.,Some resource-rich environments allow for the creation of surpluses that can lead to economic inequalities and social complexity.,Economic inequalities are the foundation of social complexity and entirely dependent on agriculture for the production of surplus food.,The production of surplus food is not important in the development of economic inequalities or social complexity.,B,\n\nAnswer: B Some resource-rich environments allow for the creation of surpluses that can lead to economic inequalities and social complexity.,1,693.4823000002652,2023-12-01T05:17:25.948Z
6569630a793453ba7eacc1d4,Which of the following was the greatest advantage of using fire in human evolution?,Fire offers protection from predators and enemies.,Fire makes meat more digestible and kills bacteria.,Fire produces light and heat.,Fire can be used in warfare and to clear fields.,B,\n\nB Fire makes meat more digestible and kills bacteria.,1,568.8632999993861,2023-12-01T05:17:28.083Z
6569630a793453ba7eacc1d5,"Palynology is the study of _________, which allows scientists to reconstruct ______.",foraminifera; a master sequence of tree rings.,coprolites; paleopathology and sexual dimorphism.,pollen; plant communities and climate.,phytoliths; artificial selection and photosynthesis pathways.,C,\n\nAnswer: C pollen; plant communities and climate.,1,496.57200000062585,2023-12-01T05:17:30.077Z
6569630a793453ba7eacc1d6,What was the unifying element of Olmec culture?,religious iconography,large armies,agricultural surpluses,all of the above,A,\n\nAnswer: A religious iconography,1,492.5855000000447,2023-12-01T05:17:31.845Z
6569630a793453ba7eacc1d7,Which of the following ancient civilizations has a written language that is the furthest from being fully deciphered?,the Indus Valley,Egyptian,Mesopotamian,Chinese,A,\n\nAnswer: A the Indus Valley,1,409.5099999997765,2023-12-01T05:17:33.515Z
6569630a793453ba7eacc1d8,The sophisticated stone tool making industry at the Pinnacle Point site in South Africa is evidence of:,"a 250,000-year-old tradition of hand axe production and use.","a 71,000-year-old complex sequence of microblade production and use.",an adaptation to hunting in colder environments.,both a and c.,B,"\n\nAnswer: B a 71,000-year-old complex sequence of microblade production and use.",1,680.7287999987602,2023-12-01T05:21:04.015Z
6569630a793453ba7eacc1d9,"Early evidence of complexity in Mayan societies is suggested by the appearance, around 2650 B.P., of:",finely carved obsidian statuary.,decorated stepped platforms.,the introduction of chocolate into the Mesoamerican economy.,a ritual ball game in which the losers were sacrificed to the gods.,B,\n\nAnswer: B. Decorated stepped platforms.,1,360.6984999999404,2023-12-01T05:17:37.032Z
6569630a793453ba7eacc1da,What do anthropologists NOT need to know to determine when people entered the Americas from Siberia?,When sled dogs were first domesticated,When the Bering Strait was exposed and open for travel,When eastern Siberia was first inhabited,The age of the earliest New World sites,A,\n\nAnswer: A When sled dogs were first domesticated,1,600.0138000007719,2023-12-01T05:17:39.507Z
6569630a793453ba7eacc1db,When did Aborigines occupy the harsh interior of Australia?,"10,000–12,000 years ago","20,000–25,000 years ago","35,000–40,000 years ago","40,000–45,000 years ago",B,"\n\nAnswer: C 35,000–40,000 years ago",0,1024.2295000012964,2023-12-01T05:17:42.488Z
6569630a793453ba7eacc1dc,What do the Hassunan and Samarran sites in Mesopotamia have in common?,Both relied heavily on agriculture.,Both have an abundance of rare luxury items.,Both have high-status burials.,Both have sophisticated monumental architecture.,A,\n\nAnswer: C Both have high-status burials.,0,431.18999999947846,2023-12-01T05:17:43.990Z
6569630a793453ba7eacc1dd,Which crop is South America's most significant agricultural contribution to Europe?,rice,potatoes,squash,beans,B,\n\nAnswer: B. Potatoes,1,312.99890000000596,2023-12-01T05:17:45.400Z
6569630a793453ba7eacc1de,What distinguishes the trade patterns of the Mesolithic from those of the Upper Paleolithic?,"in the Mesolithic, goods traveled farther and more goods were exchanged","in the Mesolithic, goods traveled farther but fewer goods were exchanged","in the Mesolithic, goods traveled less far but more goods were exchanged","in the Mesolithic, goods traveled less far and fewer goods were exchanged",C,"\n\nAnswer: A in the Mesolithic, goods traveled farther and more goods were exchanged",0,579.685600001365,2023-12-01T05:17:47.266Z
6569630a793453ba7eacc1df,A celebration in which wealth is redistributed is called a:,potlatch.,kiva parties.,totem feasts.,sinagua.,A,\n\nAnswer: A potlatch.,1,346.9177000001073,2023-12-01T05:17:48.779Z
6569630a793453ba7eacc1e0,Which of the following are techniques of trace element analysis?,proton magnetometer and electrical resistivity,accelerator mass spectrometry and photosynthesis pathways,carbon isotope analysis and experimental replication,neutron activation analysis and X- ray fluorescence,D,\n\nAnswer: B Accelerator Mass Spectrometry and Neutron Activation Analysis.,0,641.8271000012755,2023-12-01T05:21:46.130Z
6569630a793453ba7eacc1e1,The Chinese process of divining the future by examining fired animal bones is called:,hang-t'u.,sarsen divination,scapulimancy,cylinder seal prophecy,C,\n\nAnswer: C. Scapulimancy,1,787.4935000017285,2023-12-01T05:17:53.834Z
6569630a793453ba7eacc1e2,How have archaeologists characterized the monuments built by the Olmec?,Halafian ritual monuments,megalithic chiefdoms,surplus food storage centers,regal-ritual centers,D,\n\nAnswer: D. Regal-ritual centers,1,412.96239999867976,2023-12-01T05:17:54.245Z
6569630a793453ba7eacc1e3,The ethics of conducting archaeological research on sites with human remains of indigenous North American ancestors is addressed by the Native American Graves Protection and Repatriation Act. Problems often arise when:,both non-indigenous archaeologists and Native Americans are allowed onto the site at the same time.,there are no Native Americans who have been trained as archaeologists and no archaeologists who are Native American.,neither archaeologists nor Native Americans can agree on the exact location of burials at the site.,"burials are so ancient that establishing historical or genealogical connections with modern, living groups of people is impossible.",D,\n\nC neither archaeologists nor Native Americans can agree on the exact location of burials at the site.,0,502.94050000049174,2023-12-01T05:17:56.759Z
6569630a793453ba7eacc1e4,"Which culture, previously-known as the temple-mound builders, based their subsistence primarily on maize and squash agriculture?",Ancestral Puebloan,Hohokam,Mississippian,Adena,C,\n\nAnswer: C. Mississippian,1,752.2760000005364,2023-12-01T05:17:58.825Z
6569630a793453ba7eacc1e5,The city of Uruk and the cultures of the Maya and the Moche were all adversely affected by:,invasion.,drought.,civil war.,earthquakes.,B,\n\nAnswer: B drought.,1,338.5957000013441,2023-12-01T05:18:01.397Z
6569630a793453ba7eacc1e6,What is the wild progenitor of maize?,einkorn,emmer,teosinte,legumes,C,\n\nAnswer: C. Teosinte,1,391.496000001207,2023-12-01T05:18:04.296Z
6569630a793453ba7eacc1e7,"In comparison to the Middle Paleolithic, Upper Paleolithic tool technologies:",emphasized flakes over blades.,changed rapidly.,involved elaborate preparation of core tools.,all of the above,B,\n\nD all of the above,0,316.7998000010848,2023-12-01T05:18:05.949Z
6569630a793453ba7eacc1e8,Recent genomic analyses of Neandertals and modern human populations indicate that:,"between 1% and 4% of the genome of modern humans with European and Asian ancestry originated from Neandertal populations, most likely through interbreeding.","Neandertal populations were entirely distinct and separate from anatomically modern humans, with no evidence of interbreeding.",anatomically modern humans throughout the world uniformly share approximately 16% of their genome with Neandertal populations.,"modern Africans share more than 4% of their genome with Neandertals, far greater than modern European and Asian populations, indicating a lengthier time of successful interbreeding.",A,"\n\nAnswer: A between 1% and 4% of the genome of modern humans with European and Asian ancestry originated from Neandertal populations, most likely through interbreeding.",1,923.3235999997705,2023-12-01T05:18:08.411Z
6569630a793453ba7eacc1e9,Which of the following is a remote-sensing device used at archaeological sites?,ground-penetrating radar,proton magnetometer,electrical resistivity,all the above,D,\n\nAnswer: D all the above.,1,391.0065000001341,2023-12-01T05:18:12.003Z
6569630a793453ba7eacc1ea,"Genetic studies of the two primary varieties of rice, japonica (short-grained), and indica (long-grained), suggest that:","each is more closely related to one another than their local wild ancestors, suggesting that these modern varieties of rice were developed recently in east Asia.","each is more closely related to local wild ancestors than one another, suggesting that these modern varieties of rice were domesticated separately in east Asia and south Asia.","each is unrelated to one another, suggesting that these modern varieties of rice were domesticated independently in east Asia and western Europe.","each is closely related to their local wild ancestors, suggesting that domestication must have occurred very recently and no earlier than 2,000 years ago.",B,"\n\nAnswer: A each is more closely related to one another than their local wild ancestors, suggesting that these modern varieties of rice were developed recently in east Asia.",0,884.0166999995708,2023-12-01T05:18:14.358Z
6569630a793453ba7eacc1eb,What do the amount of grave goods buried with the children at Sungir' indicate?,The tribe spent most of their time carving beads.,The tribe was involved in an intricate trade network.,The tribe had a complex system of inherited social statuses.,The children were sometimes leaders of the tribe.,C,\n\nAnswer: C The tribe had a complex system of inherited social statuses.,1,496.4070999994874,2023-12-01T05:19:27.650Z
6569630a793453ba7eacc1ec,"At its peak, the population of the city of Teotihuacán may have reached:","50,000 people.","200,000 people.","500,000 people.","1,000,000 people.",B,"\n\nAnswer: B 200,000 people.",1,407.689900001511,2023-12-01T05:19:25.442Z
6569630a793453ba7eacc1ed,Nubian civilization:,predated and spurred the rise of Egyptian culture.,was the result of Mesopotamian colonization in the south.,"developed in response to, but not in imitation of, Egyptian culture.",had no contacts with neighboring cultures.,C,"\n\nAnswer: C developed in response to, but not in imitation of, Egyptian culture.",1,587.5410999991,2023-12-01T05:19:23.771Z
6569630a793453ba7eacc1ee,Having a forward-thrusting lower face is called,arboreal.,prognathous.,diastema.,mandible.,B,\n\nAnswer: B prognathous.,1,454.0482999999076,2023-12-01T05:19:22.149Z
6569630a793453ba7eacc1ef,What may have caused the Ancestral Puebloans to abandon Mesa Verde?,the population outstripped the productive capacity of the environment,drought,a new religion attracted them to the south,all of the above,D,\n\nAnswer: D: all of the above.,1,379.6129999998957,2023-12-01T05:19:18.744Z
6569630a793453ba7eacc1f0,Which species is most typically first associated with the fashioning and use of stone tools?,Homo habilis,Ardipithecus ramidus,Homo sapiens,Australopithecus robustus,A,\n\nAnswer: A Homo habilis,1,345.21419999934733,2023-12-01T05:19:17.270Z
6569630a793453ba7eacc1f1,A design that is not painted upon but is etched into a rock face is called a:,pictograph.,petroglyph.,pictorial.,petrification.,B,\n\nAnswer: B petroglyph.,1,468.60669999942183,2023-12-01T05:19:15.916Z
6569630a793453ba7eacc1f2,"The Gault site in south-central Texas has produced evidence from 13,000 years ago that Paleoindians chose this location based on the:",nearness of the site to navigable rivers and the Gulf coast.,"abundance of wild game, plants, and fish in a rich and diverse woodland environment.",proximity to a local source of chert for quarrying and making stone tools.,nearby location of migratory routes of large mammals such as bison.,C,"\n\nAnswer: B abundance of wild game, plants, and fish in a rich and diverse woodland environment.",0,591.1756000015885,2023-12-01T05:19:12.514Z
6569630a793453ba7eacc1f3,The early Mesolithic Maglemosian culture was adapted to:,a tundra environment.,a desert environment.,a forest and lakeside environment.,an equatorial environment.,C,\n\nAnswer: C a forest and lakeside environment.,1,355.91850000061095,2023-12-01T05:19:10.753Z
6569630a793453ba7eacc1f4,How were the first metals worked in South America?,casting,hammering,smelting,all of the above,B,\n\nAnswer: D all of the above,0,948.8597999997437,2023-12-01T05:19:09.416Z
6569630a793453ba7eacc1f5,"What is the Aztec word for a spear-throwing device developed in Europe more than 30,000 years ago?",chunkey.,atlatl.,burin.,petroglyph.,B,\n\nAnswer: B. Atlatl.,1,419.12189999967813,2023-12-01T05:22:39.775Z
6569630a793453ba7eacc1f6,The directed breeding of plants and animals by humans is called:,foraging.,artificial selection.,natural selection.,herding.,B,\n\nAnswer: B artificial selection.,1,309.02600000053644,2023-12-01T05:19:05.600Z
6569630a793453ba7eacc1f7,"Interestingly, none of the civilizations of ancient South America appear to have developed:",monumental works.,irrigation technology.,a written language.,significant armies.,C,\n\nAnswer: C a written language.,1,351.4092999994755,2023-12-01T05:19:04.273Z
6569630a793453ba7eacc1f8,Which of the following is not a hypothesis for why hominids walked on two legs?,it freed the hands to carry things,it allowed for braincase expansion,it expended less energy than quadrupedalism for going long distances,it allowed hominids to see greater distances,B,\n\nAnswer: C it expended less energy than quadrupedalism for going long distances,0,547.5766000002623,2023-12-01T05:19:02.684Z
6569630a793453ba7eacc1f9,When did the first pharaohs emerge in Egypt?,3100 B.P.,4100 B.P.,5100 B.P.,6100 B.P.,C,\n\nAnswer: B 4100 B.P.,0,352.8601999990642,2023-12-01T05:23:51.852Z
6569630a793453ba7eacc1fa,There is evidence that the Hohokam borrowed which practice from Mesoamerican culture?,ritual consumption of maize beer,ritual human sacrifice,playing ritual ball games,construction of stepped pyramids,C,\n\nAnswer: A Ritual consumption of maize beer,0,365.8681000005454,2023-12-01T05:23:53.698Z
6569630a793453ba7eacc1fb,One of the less obvious reasons for the Inca to fight so many wars may have been:,to develop a story line for powerful epic poetry.,to identify and cultivate talented leaders.,"to kill off a certain percentage of the young male population, thus preventing revolution.",to appease the gods of war.,B,\n\nAnswer: B to identify and cultivate talented leaders.,1,402.7434999998659,2023-12-01T05:23:55.787Z
6569630a793453ba7eacc1fc,The name Teotihuacán was given to the city by:,"the Aztecs, who continued to make pilgrimages there long after its collapse.","the Spanish invaders, who largely destroyed it.","the city's first king, who named it after his favorite deity.","Olmec traders, who were impressed with its grandeur.",A,"\n\nAnswer: A the Aztecs, who continued to make pilgrimages there long after its collapse.",1,672.2752999998629,2023-12-01T05:23:58.184Z
6569630a793453ba7eacc1fd,Which culture hosted the above celebration?,the Ancestral Puebloans of the southwestern desert,the Mogollon of the southwestern mountains,the Kwakiutl of the Pacific Northwest,the Hopewell of the American Midwest,C,\n\nAnswer: A the Ancestral Puebloans of the southwestern desert,0,612.5090000014752,2023-12-01T05:26:12.573Z
6569630a793453ba7eacc1fe,"Of the following, which is the earliest example of the development of a complex society?",Jericho in Israel,Caral in Peru,Stonehenge in England,Olmec along the Gulf Coast,A,\n\nAnswer: A Jericho in Israel,1,374.033900000155,2023-12-01T05:26:13.894Z
6569630a793453ba7eacc1ff,Archaeological evidence for the domestication of cats suggests it occurred when and why?,"before 22,000 years ago, as a result of the shift from opportunistic foraging to logistical collecting","before 11,000 years ago, as a direct result of artificial selection","after 11,000 years ago, as an unintentional consequence of food production and storage","after 9,000 years ago, as an unintentional result of the domestication of cattle and production of milk and cheese",C,"\n\nAnswer: B before 11,000 years ago, as a direct result of artificial selection",0,622.6193000003695,2023-12-01T05:26:15.587Z
6569630a793453ba7eacc200,The most obvious material symbols of ancient state societies are:,stone tablets.,pyramids.,monumental works.,irrigation canals.,C,\n\nAnswer: B Pyramids,0,284.47209999896586,2023-12-01T05:26:17.477Z
6569630a793453ba7eacc201,What is the evidence for trade between Indus Valley cities and the city states of ancient Mesopotamia?,Obsidian tools have been found at sites in both regions.,"Glass beads, copper, and gold from Mesopotamia have been found at Harappan sites in the Indus Valley.",Harappan seals have been found in Mesopotamia and Mesopotamian cylinder seals have been found in the Indus valley.,All of the above.,C,\n\nAnswer: D All of the above.,0,486.2477000001818,2023-12-01T05:26:19.551Z
6569630a793453ba7eacc202,At the end of the Miocene many species of ape became extinct due to:,humans killing them.,an asteroid hitting the Yucatan Peninsula.,a change in the environment.,dinosaurs eating them.,C,\n\nAnswer: C a change in the environment.,1,519.0452000014484,2023-12-01T05:26:25.549Z
6569630a793453ba7eacc203,Some of the oldest painted art in the world was recently discovered in caves on the island of Sulawesi in Indonesia. What do the images include and to when do they date?,"animals and human bodies from more than 15,000 to about 20,000 years ago","animals and hand stencils from more than 35,000 to about 40,000 years ago","animals and hand stencils from more than 45,000 to about 100,000 years ago","animals and abstract geometric shapes from 15,000 to more than 100,000 years ago",B,"\n\nAnswer: B animals and hand stencils from more than 35,000 to about 40,000 years ago",1,624.1599000003189,2023-12-01T05:26:27.514Z
